Date_Time,Rotation,Pellet_Retrieval,Type,Wheel_Position,FED_Position
2022-03-02 19:55:34.355751,120,0.1,begin session,Right,Left
2022-03-02 19:57:07.408105,120,0.1,begin session,Left,Right
2022-03-02 20:02:47.574995,+,,START,Left,Right
2022-03-02 20:06:26.825115,*,,BB2,Left,Right
2022-03-02 20:07:01.754557,*,,BB4,Left,Right
2022-03-02 20:07:29.728711,0.0,,Food_log_BB2,Left,Right
2022-03-02 20:07:43.276375,*,,BB3,Left,Right
2022-03-02 20:07:45.895437,,2612,drink,Left,Right
2022-03-02 20:08:44.805858,1.5778,,Run_log_BB2,Left,Right
2022-03-02 20:08:44.812154,14586,2612,exit_drink,Left,Right
2022-03-02 20:09:18.302150,*,,BB4,Left,Right
2022-03-02 20:09:57.085929,0.0,,Food_log_BB2,Left,Right
2022-03-02 20:10:09.058228,-,,END,Left,Right
2022-03-02 20:11:55.071096,+,,START,Left,Right
2022-03-02 20:12:04.292318,*,,BB2,Left,Right
2022-03-02 20:12:24.687809,*,,BB3,Left,Right
2022-03-02 20:13:05.466096,,40768,drink,Left,Right
2022-03-02 20:14:09.548526,1.4444,,Run_log_BB2,Left,Right
2022-03-02 20:14:09.555004,2635,40768,exit_drink,Left,Right
2022-03-02 20:14:15.250590,-,,END,Left,Right
2022-03-02 20:16:25.851068,+,,START,Left,Right
2022-03-02 20:16:31.623710,*,,BB2,Left,Right
2022-03-02 20:16:35.033541,*,,BB4,Left,Right
2022-03-02 20:16:44.012645,0.0,,Food_log_BB2,Left,Right
2022-03-02 20:16:50.016177,-,,END,Left,Right
2022-03-02 20:17:57.983625,120,0.1,begin session,Left,Right
2022-03-02 20:19:14.402359,120,0.1,room door closed,Left,Right
2022-03-02 20:20:44.962695,+,,START,Left,Right
2022-03-02 20:20:53.956068,*,,BB2,Left,Right
2022-03-02 20:20:57.234167,*,,BB4,Left,Right
2022-03-02 20:21:09.023930,0.0,,Food_log_BB2,Left,Right
2022-03-02 20:21:17.430762,*,,BB4,Left,Right
2022-03-02 20:22:26.785723,0.0,,Food_log_BB2,Left,Right
2022-03-02 20:22:30.645503,-,,END,Left,Right
2022-03-02 20:28:14.719426,+,,START,Left,Right
2022-03-02 20:28:21.503020,*,,BB2,Left,Right
2022-03-02 20:29:15.473287,*,,BB4,Left,Right
2022-03-02 20:29:44.906566,0.0,,Food_log_BB2,Left,Right
2022-03-02 20:29:50.766443,-,,END,Left,Right
2022-03-02 20:57:02.204794,+,,START,Left,Right
2022-03-02 20:57:18.392843,*,,BB2,Left,Right
2022-03-02 20:57:34.930140,*,,BB4,Left,Right
2022-03-02 20:57:57.072583,0.0,,Food_log_BB2,Left,Right
2022-03-02 20:58:02.008083,*,,BB4,Left,Right
2022-03-02 20:58:09.482081,0.0,,Food_log_BB2,Left,Right
2022-03-02 20:58:17.639473,*,,BB4,Left,Right
2022-03-02 20:59:09.565402,0.0,,Food_log_BB2,Left,Right
2022-03-02 20:59:15.692524,-,,END,Left,Right
2022-03-02 21:05:32.400266,+,,START,Left,Right
2022-03-02 21:05:40.368821,*,,BB2,Left,Right
2022-03-02 21:05:59.597361,*,,BB3,Left,Right
2022-03-02 21:06:05.396154,,5793,drink,Left,Right
2022-03-02 21:06:37.317578,1.5556,,Run_log_BB2,Left,Right
2022-03-02 21:06:37.324095,33150,5793,exit_drink,Left,Right
2022-03-02 21:06:45.726742,*,,BB4,Left,Right
2022-03-02 21:07:08.059354,0.0,,Food_log_BB2,Left,Right
2022-03-02 21:07:34.415776,*,,BB4,Left,Right
2022-03-02 21:08:39.634079,0.0,,Food_log_BB2,Left,Right
2022-03-02 21:08:46.198097,-,,END,Left,Right
2022-03-02 21:15:56.517131,+,,START,Left,Right
2022-03-02 21:16:03.795819,*,,BB2,Left,Right
2022-03-02 21:16:06.010492,*,,BB4,Left,Right
2022-03-02 21:16:53.915881,0.0,,Food_log_BB2,Left,Right
2022-03-02 21:17:02.472451,-,,END,Left,Right
2022-03-02 21:23:10.213536,+,,START,Left,Right
2022-03-02 21:23:17.932964,*,,BB2,Left,Right
2022-03-02 21:23:21.740327,*,,BB4,Left,Right
2022-03-02 21:23:32.813761,0.0,,Food_log_BB2,Left,Right
2022-03-02 21:23:40.200077,*,,BB4,Left,Right
2022-03-02 21:24:29.702045,0.0,,Food_log_BB2,Left,Right
2022-03-02 21:24:54.626510,*,,BB4,Left,Right
2022-03-02 21:25:47.937066,0.0,,Food_log_BB2,Left,Right
2022-03-02 21:27:11.427582,*,,BB3,Left,Right
2022-03-02 21:27:52.225844,1.5778,,Run_log_BB2,Left,Right
2022-03-02 21:27:52.232042,0,0,exit_drink,Left,Right
2022-03-02 21:28:00.525443,*,,BB4,Left,Right
2022-03-02 21:28:04.907946,0.0,,Food_log_BB2,Left,Right
2022-03-02 21:28:12.639181,*,,BB4,Left,Right
2022-03-02 21:28:50.775262,0.0,,Food_log_BB2,Left,Right
2022-03-02 21:29:13.302346,*,,BB3,Left,Right
2022-03-02 21:29:21.536548,,8229,drink,Left,Right
2022-03-02 21:30:27.411478,2.2556,,Run_log_BB2,Left,Right
2022-03-02 21:30:27.417246,41741,8229,exit_drink,Left,Right
2022-03-02 21:30:39.300221,*,,BB4,Left,Right
2022-03-02 21:31:15.079878,0.0,,Food_log_BB2,Left,Right
2022-03-02 21:31:22.604171,*,,BB3,Left,Right
2022-03-02 21:31:34.918788,,12309,drink,Left,Right
2022-03-02 21:32:39.248449,2.0556,,Run_log_BB2,Left,Right
2022-03-02 21:32:39.254134,33719,12309,exit_drink,Left,Right
2022-03-02 21:32:55.304292,*,,BB4,Left,Right
2022-03-02 21:33:23.374754,0.0,,Food_log_BB2,Left,Right
2022-03-02 21:33:31.327865,-,,END,Left,Right
2022-03-02 21:41:53.502601,+,,START,Left,Right
2022-03-02 21:41:59.664413,*,,BB2,Left,Right
2022-03-02 21:42:02.413967,*,,BB4,Left,Right
2022-03-02 21:42:43.756276,0.0,,Food_log_BB2,Left,Right
2022-03-02 21:42:54.332579,*,,BB3,Left,Right
2022-03-02 21:42:57.371516,,3033,drink,Left,Right
2022-03-02 21:45:18.727824,3.0222,,Run_log_BB2,Left,Right
2022-03-02 21:45:18.733435,50280,3033,exit_drink,Left,Right
2022-03-02 21:45:41.955192,*,,BB4,Left,Right
2022-03-02 21:45:58.052152,0.0,,Food_log_BB2,Left,Right
2022-03-02 21:46:10.114276,*,,BB4,Left,Right
2022-03-02 21:48:54.486718,0.0,,Food_log_BB2,Left,Right
2022-03-02 21:49:07.882169,*,,BB4,Left,Right
2022-03-02 21:49:39.676446,0.0,,Food_log_BB2,Left,Right
2022-03-02 21:49:46.005921,*,,BB3,Left,Right
2022-03-02 21:50:39.233910,,53223,drink,Left,Right
2022-03-02 21:55:00.483324,1.8667,,Run_log_BB2,Left,Right
2022-03-02 21:55:00.488819,75032,53223,exit_drink,Left,Right
2022-03-02 21:55:11.978334,*,,BB4,Left,Right
2022-03-02 21:56:36.872994,0.0,,Food_log_BB2,Left,Right
2022-03-02 21:56:59.848040,*,,BB3,Left,Right
2022-03-02 21:57:20.911303,0.7333,,Run_log_BB2,Left,Right
2022-03-02 21:57:20.921357,0,0,exit_drink,Left,Right
2022-03-02 21:57:49.251003,-,,END,Left,Right
2022-03-02 21:59:45.610268,+,,START,Left,Right
2022-03-02 21:59:52.040643,*,,BB2,Left,Right
2022-03-02 21:59:54.863057,*,,BB4,Left,Right
2022-03-02 22:00:19.965479,0.0,,Food_log_BB2,Left,Right
2022-03-02 22:01:00.632684,*,,BB3,Left,Right
2022-03-02 22:01:02.596394,,1957,drink,Left,Right
2022-03-02 22:02:58.720175,3.0222,,Run_log_BB2,Left,Right
