Weight_Mean,Weight_Median,Weight_Mode,Weight_Max_Mode,Date_Time
19.668,18.95,NO MODE,NO MAX_MODE,2022-02-14 16:27:12.357076
17.406,17.45,NO MODE,NO MAX_MODE,2022-02-14 16:39:08.055885
22.414,22.2,22.0,NO MAX_MODE,2022-02-14 17:11:26.456244
19.95,20.05,NO MODE,NO MAX_MODE,2022-02-14 17:33:25.134281
22.436,22.6,NO MODE,NO MAX_MODE,2022-02-14 17:53:27.029387
21.49,21.6,NO MODE,NO MAX_MODE,2022-02-14 18:02:42.669269
22.474,22.65,23.1,NO MAX_MODE,2022-02-14 18:10:10.562191
21.732,22.05,22.7,NO MAX_MODE,2022-02-14 18:26:03.581904
22.448,22.5,23.1,NO MAX_MODE,2022-02-14 18:35:51.260483
20.298000000000002,19.950000000000003,NO MODE,NO MAX_MODE,2022-02-14 18:42:11.111375
21.976,22.35,NO MODE,NO MAX_MODE,2022-02-14 18:51:27.210092
20.618,20.45,NO MODE,NO MAX_MODE,2022-02-14 19:03:46.899284
21.242,21.5,NO MODE,NO MAX_MODE,2022-02-14 19:14:44.801443
20.882,21.5,22.6,NO MAX_MODE,2022-02-14 19:26:48.426940
23.336,23.55,23.6,NO MAX_MODE,2022-02-14 19:39:13.953593
20.47,20.75,NO MODE,NO MAX_MODE,2022-02-14 19:56:51.645270
20.626,20.4,22.0,NO MAX_MODE,2022-02-14 20:11:39.600439
22.04,22.0,21.4,NO MAX_MODE,2022-02-14 20:28:15.318372
21.186,21.1,21.1,NO MAX_MODE,2022-02-14 20:35:28.686381
20.642,20.5,NO MODE,NO MAX_MODE,2022-02-14 20:47:55.523836
20.576,20.4,22.0,NO MAX_MODE,2022-02-14 20:59:27.774930
21.156,21.15,NO MODE,NO MAX_MODE,2022-02-14 21:14:51.833993
22.396,22.65,NO MODE,NO MAX_MODE,2022-02-14 21:25:05.267637
21.306,21.35,21.0,NO MAX_MODE,2022-02-14 22:33:54.764235
20.658,20.95,NO MODE,NO MAX_MODE,2022-02-15 02:26:16.809007
21.432,21.45,21.4,NO MAX_MODE,2022-02-15 10:05:14.933112
19.946,19.85,NO MODE,NO MAX_MODE,2022-02-15 10:28:36.934486
23.366,23.7,21.3,NO MAX_MODE,2022-02-15 17:54:37.780350
21.866,21.9,NO MODE,NO MAX_MODE,2022-02-15 18:02:51.233844
20.478,20.2,19.2,NO MAX_MODE,2022-02-15 18:12:04.354522
21.888,22.25,22.8,NO MAX_MODE,2022-02-15 18:19:10.445675
21.214,20.9,20.2,NO MAX_MODE,2022-02-15 18:26:59.693081
21.592,22.0,NO MODE,NO MAX_MODE,2022-02-15 18:36:11.159798
22.262,21.85,21.5,NO MAX_MODE,2022-02-15 18:44:38.818386
20.894,20.95,22.0,NO MAX_MODE,2022-02-15 18:54:12.842834
21.08,21.7,NO MODE,NO MAX_MODE,2022-02-15 19:02:01.984130
