Date_Time,Rotation,Pellet_Retrieval,Type,Wheel_Position,FED_Position
2022-03-11 11:25:34.466474,120,0.1,begin session,Left,Right
2022-03-11 11:26:09.270687,120,0.1,begin session,Left,Right
2022-03-14 11:28:44.549319,120,0.1,begin session,Left,Right
2022-03-14 11:30:21.728748,120,0.1,begin session,Left,Right
2022-03-15 11:20:45.347918,120,0.1,begin session,Left,Right
2022-03-15 11:21:38.895287,120,0.1,begin session,Right,Left
2022-03-16 14:36:01.911030,120,0.1,begin session,Left,Right
2022-03-17 11:15:42.438886,120,0.1,begin session,Left,Right
2022-03-18 11:12:56.494992,120,0.1,begin session,Right,Left
