Date_Time,Rotation,Pellet_Retrieval,Type,Wheel_Position,FED_Position
2022-03-02 19:55:34.342108,120,0.1,begin session,Right,Left
2022-03-02 19:57:07.394388,120,0.1,begin session,Left,Right
2022-03-02 19:58:43.507089,+,,START,Left,Right
2022-03-02 20:00:46.519764,*,,BB2,Left,Right
2022-03-02 20:00:55.008151,*,,BB4,Left,Right
2022-03-02 20:01:23.473885,0.0,,Food_log_BB2,Left,Right
2022-03-02 20:01:28.865953,-,,END,Left,Right
2022-03-02 20:01:39.523182,+,,START,Left,Right
2022-03-02 20:01:48.633871,*,,BB2,Left,Right
2022-03-02 20:01:54.706463,*,,BB4,Left,Right
2022-03-02 20:02:15.045712,0.0,,Food_log_BB2,Left,Right
2022-03-02 20:02:21.276627,-,,END,Left,Right
2022-03-02 20:14:50.866625,+,,START,Left,Right
2022-03-02 20:15:25.551938,*,,BB2,Left,Right
2022-03-02 20:15:29.213228,*,,BB4,Left,Right
2022-03-02 20:15:54.069620,0.0,,Food_log_BB2,Left,Right
2022-03-02 20:15:59.982972,*,,BB4,Left,Right
2022-03-02 20:16:07.378860,0.0,,Food_log_BB2,Left,Right
2022-03-02 20:16:12.433411,-,,END,Left,Right
2022-03-02 20:17:57.976463,120,0.1,begin session,Left,Right
2022-03-02 20:19:14.334882,120,0.1,room door closed,Left,Right
2022-03-02 20:23:05.941223,+,,START,Left,Right
2022-03-02 20:23:31.274074,*,,BB2,Left,Right
2022-03-02 20:23:36.647081,*,,BB4,Left,Right
2022-03-02 20:23:47.331928,0.0,,Food_log_BB2,Left,Right
2022-03-02 20:23:52.268875,*,,BB4,Left,Right
2022-03-02 20:24:22.281006,0.0,,Food_log_BB2,Left,Right
2022-03-02 20:24:41.245928,-,,END,Left,Right
2022-03-02 20:32:00.804630,+,,START,Left,Right
2022-03-02 20:32:26.018046,*,,BB2,Left,Right
2022-03-02 20:32:30.005369,*,,BB4,Left,Right
2022-03-02 20:33:03.709961,0.0,,Food_log_BB2,Left,Right
2022-03-02 20:33:10.802110,-,,END,Left,Right
2022-03-02 20:36:52.726655,+,,START,Left,Right
2022-03-02 20:37:02.983148,*,,BB2,Left,Right
2022-03-02 20:37:05.131450,*,,BB4,Left,Right
2022-03-02 20:37:17.994699,0.0,,Food_log_BB2,Left,Right
2022-03-02 20:37:59.769750,-,,END,Left,Right
2022-03-02 20:48:15.402014,+,,START,Left,Right
2022-03-02 20:48:24.379478,*,,BB2,Left,Right
2022-03-02 20:48:26.794240,*,,BB4,Left,Right
2022-03-02 20:48:36.581628,0.0,,Food_log_BB2,Left,Right
2022-03-02 20:48:50.400913,*,,BB3,Left,Right
2022-03-02 20:48:55.383665,,4977,drink,Left,Right
2022-03-02 20:49:39.533335,1.6222,,Run_log_BB2,Left,Right
2022-03-02 20:49:39.539081,80432,4977,exit_drink,Left,Right
2022-03-02 20:49:44.229983,*,,BB4,Left,Right
2022-03-02 20:49:49.955026,0.0,,Food_log_BB2,Left,Right
2022-03-02 20:49:59.190828,-,,END,Left,Right
