Date_Time,Rotation,Pellet_Retrieval,Type,Wheel_Position,FED_Position
2022-03-02 19:55:34.373735,120,0.1,begin session,Right,Left
2022-03-02 19:57:07.422654,120,0.1,begin session,Left,Right
2022-03-02 20:17:57.992904,120,0.1,begin session,Left,Right
2022-03-02 20:19:14.469995,120,0.1,room door closed,Left,Right
2022-03-02 20:40:02.981057,+,,ENTRY DENIED MULTIPLE ANIMALS,Left,Right
2022-03-02 20:41:04.791148,+,,START,Left,Right
2022-03-02 20:50:34.103915,+,,START,Left,Right
2022-03-02 22:13:43.526476,+,,ENTRY DENIED MULTIPLE ANIMALS,Left,Right
2022-03-02 22:15:32.789577,+,,START,Left,Right
2022-03-02 22:20:45.716565,+,,START,Left,Right
2022-03-02 22:38:29.359813,+,,START,Left,Right
2022-03-02 23:11:14.606174,+,,START,Left,Right
2022-03-02 23:19:37.866233,+,,START,Left,Right
2022-03-02 23:41:05.804121,+,,START,Left,Right
2022-03-02 23:50:29.840438,+,,START,Left,Right
2022-03-03 00:07:43.642044,+,,START,Left,Right
2022-03-03 00:23:43.476348,+,,START,Left,Right
2022-03-03 01:22:02.680014,+,,START,Left,Right
2022-03-03 01:27:14.056512,+,,START,Left,Right
2022-03-03 01:38:51.609484,+,,START,Left,Right
2022-03-03 01:47:27.850386,+,,START,Left,Right
2022-03-03 01:52:44.081759,+,,START,Left,Right
2022-03-03 01:57:53.073298,+,,START,Left,Right
2022-03-03 02:22:08.672385,+,,START,Left,Right
2022-03-03 08:20:17.197700,+,,START,Left,Right
2022-03-03 08:33:17.941291,+,,START,Left,Right
2022-03-03 10:41:06.690933,+,,START,Left,Right
2022-03-03 10:46:15.560372,+,,START,Left,Right
2022-03-03 10:48:51.133650,120,0.1,room door opened,Left,Right
2022-03-03 10:48:54.450743,120,0.1,room door closed,Left,Right
2022-03-03 10:50:02.294877,*,,BB4,Left,Right
2022-03-03 10:50:15.971723,0.0,,Food_log_BB2,Left,Right
2022-03-03 10:50:23.863299,*,,BB4,Left,Right
2022-03-03 10:50:33.282970,0.0,,Food_log_BB2,Left,Right
2022-03-03 10:50:38.106996,*,,BB4,Left,Right
2022-03-03 10:50:45.561005,0.0,,Food_log_BB2,Left,Right
2022-03-03 10:50:50.518574,*,,BB4,Left,Right
2022-03-03 10:51:18.405805,0.0,,Food_log_BB2,Left,Right
2022-03-03 10:51:38.636352,*,,BB3,Left,Right
2022-03-03 10:51:44.627964,,5986,drink,Left,Right
2022-03-03 10:51:58.188726,0.8222,,Run_log_BB2,Left,Right
2022-03-03 10:51:58.194282,1,5986,exit_drink,Left,Right
2022-03-03 10:52:15.787976,*,,BB4,Left,Right
2022-03-03 10:53:12.593833,0.0,,Food_log_BB2,Left,Right
2022-03-03 10:53:40.784432,*,,BB4,Left,Right
2022-03-03 10:54:00.003983,0.0,,Food_log_BB2,Left,Right
2022-03-03 10:54:06.100513,*,,BB4,Left,Right
2022-03-03 10:54:45.151368,0.0,,Food_log_BB2,Left,Right
2022-03-03 10:54:58.206438,-,,END,Left,Right
2022-03-03 11:00:22.933236,[''],"['hab1 cage2 quad with previous start 19:30 lights 2132/0932, lick thresh 300, 120s wheel access 0.1s water is 10ul 1 pellet participants 38723977393 ,38723977500, 38723977309']",end session,[''],
2022-03-03 11:01:30.752722,120,0.1,room door opened,Left,Right
2022-03-03 11:01:33.449699,120,0.1,room door closed,Left,Right
2022-03-03 11:21:02.041922,120,0.1,begin session,Left,Right
2022-03-03 11:23:34.913839,+,,START,Left,Right
2022-03-03 11:24:32.580989,*,,BB2,Left,Right
2022-03-03 11:25:09.475666,*,,BB4,Left,Right
2022-03-03 11:25:20.738910,0.0,,Food_log_BB2,Left,Right
2022-03-03 11:25:37.478740,*,,BB4,Left,Right
2022-03-03 11:26:32.497227,0.0,,Food_log_BB2,Left,Right
2022-03-03 11:26:43.543229,*,,BB3,Left,Right
2022-03-03 11:27:13.733887,1.4222,,Run_log_BB2,Left,Right
2022-03-03 11:27:13.739684,0,0,exit_drink,Left,Right
2022-03-03 11:27:18.312838,*,,BB4,Left,Right
2022-03-03 11:27:36.258847,0.0,,Food_log_BB2,Left,Right
2022-03-03 11:27:53.735790,*,,BB3,Left,Right
2022-03-03 11:29:11.338404,1.8889,,Run_log_BB2,Left,Right
2022-03-03 11:29:11.344155,0,0,exit_drink,Left,Right
2022-03-03 11:29:20.204812,*,,BB4,Left,Right
2022-03-03 11:29:31.255992,0.0,,Food_log_BB2,Left,Right
2022-03-03 11:29:36.765059,-,,END,Left,Right
2022-03-03 11:55:10.800088,+,,START,Left,Right
2022-03-03 11:55:24.364614,*,,BB2,Left,Right
2022-03-03 11:55:30.795669,*,,BB4,Left,Right
2022-03-03 11:55:46.642466,0.0,,Food_log_BB2,Left,Right
2022-03-03 11:55:57.756546,*,,BB4,Left,Right
2022-03-03 11:56:53.872688,0.0,,Food_log_BB2,Left,Right
2022-03-03 11:57:11.717129,*,,BB4,Left,Right
2022-03-03 11:57:33.321699,0.0,,Food_log_BB2,Left,Right
2022-03-03 11:57:41.201337,*,,BB3,Left,Right
2022-03-03 11:58:11.315150,0.1778,,Run_log_BB2,Left,Right
2022-03-03 11:58:11.320636,0,0,exit_drink,Left,Right
2022-03-03 11:58:35.359450,*,,BB4,Left,Right
2022-03-03 11:58:59.363595,0.0,,Food_log_BB2,Left,Right
2022-03-03 11:59:07.734612,-,,END,Left,Right
2022-03-03 12:28:44.785079,+,,START,Left,Right
2022-03-03 12:28:52.279890,*,,BB2,Left,Right
2022-03-03 12:28:55.505714,*,,BB4,Left,Right
2022-03-03 12:29:12.028147,0.0,,Food_log_BB2,Left,Right
2022-03-03 12:29:19.767430,*,,BB3,Left,Right
2022-03-03 12:29:48.302161,0.0,,Run_log_BB2,Left,Right
2022-03-03 12:29:48.308656,0,0,exit_drink,Left,Right
2022-03-03 12:30:12.982433,*,,BB4,Left,Right
2022-03-03 12:30:34.266095,0.0,,Food_log_BB2,Left,Right
2022-03-03 12:30:44.702644,-,,END,Left,Right
2022-03-03 12:34:51.472812,+,,START,Left,Right
2022-03-03 12:35:03.319592,*,,BB2,Left,Right
2022-03-03 12:35:08.493340,*,,BB4,Left,Right
2022-03-03 12:35:40.636728,0.0,,Food_log_BB2,Left,Right
2022-03-03 12:36:09.696644,*,,BB3,Left,Right
2022-03-03 12:36:54.379261,,44676,drink,Left,Right
2022-03-03 12:37:19.774495,1.3222,,Run_log_BB2,Left,Right
2022-03-03 12:37:19.780722,23104,44676,exit_drink,Left,Right
2022-03-03 12:37:24.738345,-,,END,Left,Right
2022-03-03 13:07:32.851502,+,,START,Left,Right
2022-03-03 13:07:44.219472,*,,BB2,Left,Right
2022-03-03 13:07:47.290741,*,,BB4,Left,Right
2022-03-03 13:08:01.574037,0.0,,Food_log_BB2,Left,Right
2022-03-03 13:08:21.219139,*,,BB4,Left,Right
2022-03-03 13:08:46.942511,0.0,,Food_log_BB2,Left,Right
2022-03-03 13:08:56.358093,*,,BB3,Left,Right
