Date_Time,Rotation,Pellet_Retrieval,Type,Wheel_Position,FED_Position
2022-03-11 11:25:34.482989,120,0.1,begin session,Left,Right
2022-03-11 11:26:09.285189,120,0.1,begin session,Left,Right
2022-03-14 11:28:44.564450,120,0.1,begin session,Left,Right
2022-03-14 11:30:21.742932,120,0.1,begin session,Left,Right
2022-03-15 11:20:45.362848,120,0.1,begin session,Left,Right
2022-03-15 11:21:38.909624,120,0.1,begin session,Right,Left
2022-03-16 14:36:01.925556,120,0.1,begin session,Left,Right
2022-03-17 11:15:42.453549,120,0.1,begin session,Left,Right
2022-03-18 11:12:56.509939,120,0.1,begin session,Right,Left
