Date_Time,Rotation,Pellet_Retrieval,Type,Wheel_Position,FED_Position
2022-02-14 18:02:48.115478,*,,BB2,Left,Right
2022-02-14 18:02:52.538401,*,,BB4,Left,Right
2022-02-14 18:03:30.457829,,37.91,Food_retrieval,Left,Right
2022-02-14 18:04:39.550185,0.0,,Food_log_BB2,Left,Right
2022-02-14 18:04:47.341256,*,,BB3,Left,Right
2022-02-14 18:04:47.427317,,80,drink,Left,Right
2022-02-14 18:05:27.004149,1.7222,,Run_log_BB2,Left,Right
2022-02-14 18:05:27.010786,177961,80,exit_drink,Left,Right
2022-02-14 18:05:36.090722,-,,END,Left,Right
2022-02-14 18:10:10.624385,+,,START,Left,Right
2022-02-14 18:10:22.848900,*,,BB2,Left,Right
2022-02-14 18:10:26.403954,*,,BB3,Left,Right
2022-02-14 18:10:26.420999,,11,drink,Left,Right
2022-02-14 18:11:08.330190,0.0,,Run_log_BB2,Left,Right
2022-02-14 18:11:08.337126,165800,11,exit_drink,Left,Right
2022-02-14 18:11:35.598847,*,,BB4,Left,Right
2022-02-14 18:12:10.437640,,34.8296,Food_retrieval,Left,Right
2022-02-14 18:13:35.305277,0.0,,Food_log_BB2,Left,Right
2022-02-14 18:13:42.553172,*,,BB4,Left,Right
2022-02-14 18:13:47.070163,,4.5103,Food_retrieval,Left,Right
2022-02-14 18:15:16.036995,0.0,,Food_log_BB2,Left,Right
2022-02-14 18:15:19.369527,-,,END,Left,Right
2022-02-14 18:26:03.649909,+,,START,Left,Right
2022-02-14 18:26:09.973727,*,,BB2,Left,Right
2022-02-14 18:26:14.605521,*,,BB4,Left,Right
2022-02-14 18:26:19.970872,,5.3556,Food_retrieval,Left,Right
2022-02-14 18:27:45.201666,0.0,,Food_log_BB2,Left,Right
2022-02-14 18:27:49.050412,-,,END,Left,Right
2022-02-14 18:35:51.326915,+,,START,Left,Right
2022-02-14 18:36:00.124238,*,,BB2,Left,Right
2022-02-14 18:36:05.665779,*,,BB4,Left,Right
2022-02-14 18:36:09.685479,,4.0074,Food_retrieval,Left,Right
2022-02-14 18:37:11.182546,0.0,,Food_log_BB2,Left,Right
2022-02-14 18:37:22.485939,*,,BB4,Left,Right
2022-02-14 18:37:37.667680,,15.1689,Food_retrieval,Left,Right
2022-02-14 18:39:18.245265,0.0,,Food_log_BB2,Left,Right
2022-02-14 18:39:21.530559,-,,END,Left,Right
2022-02-14 18:42:11.177074,+,,START,Left,Right
2022-02-14 18:42:17.211808,*,,BB2,Left,Right
2022-02-14 18:42:46.489917,*,,BB4,Left,Right
2022-02-14 18:42:48.702422,,2.201,Food_retrieval,Left,Right
2022-02-14 18:44:53.029056,0.0,,Food_log_BB2,Left,Right
2022-02-14 18:45:21.350480,*,,BB4,Left,Right
2022-02-14 18:45:52.444363,,31.0489,Food_retrieval,Left,Right
2022-02-14 18:47:13.841477,0.0,,Food_log_BB2,Left,Right
2022-02-14 18:47:52.832324,*,,BB3,Left,Right
2022-02-14 18:49:18.226642,0.0,,Run_log_BB2,Left,Right
2022-02-14 18:49:18.232213,0,0,exit_drink,Left,Right
2022-02-14 18:49:28.579856,-,,END,Left,Right
2022-02-14 18:51:27.271779,+,,START,Left,Right
2022-02-14 18:51:31.382229,*,,BB2,Left,Right
2022-02-14 18:51:37.984490,*,,BB4,Left,Right
2022-02-14 18:51:41.649163,,3.6532,Food_retrieval,Left,Right
2022-02-14 18:52:47.396439,0.0,,Food_log_BB2,Left,Right
2022-02-14 18:53:05.165425,*,,BB4,Left,Right
2022-02-14 18:53:35.785843,0.0,,Food_log_BB2,Left,Right
2022-02-14 18:54:10.055631,*,,BB3,Left,Right
2022-02-14 18:54:10.198993,,138,drink,Left,Right
2022-02-14 18:55:23.755163,2.2667,,Run_log_BB2,Left,Right
2022-02-14 18:55:23.761877,248469,138,exit_drink,Left,Right
2022-02-14 18:55:26.777022,-,,END,Left,Right
2022-02-14 19:03:46.966477,+,,START,Left,Right
2022-02-14 19:03:52.176300,*,,BB2,Left,Right
2022-02-14 19:03:57.295085,*,,BB3,Left,Right
2022-02-14 19:03:57.603919,,302,drink,Left,Right
2022-02-14 19:04:31.257189,0.5556,,Run_log_BB2,Left,Right
2022-02-14 19:04:31.263328,34153,302,exit_drink,Left,Right
2022-02-14 19:04:50.900268,*,,BB3,Left,Right
2022-02-14 19:04:51.406181,,500,drink,Left,Right
2022-02-14 19:06:30.439989,0.0,,Run_log_BB2,Left,Right
2022-02-14 19:06:30.446597,19188,500,exit_drink,Left,Right
2022-02-14 19:06:54.795601,*,,BB3,Left,Right
2022-02-14 19:06:55.080497,,278,drink,Left,Right
2022-02-14 19:08:39.991045,1.6222,,Run_log_BB2,Left,Right
2022-02-14 19:08:39.998710,25561,278,exit_drink,Left,Right
2022-02-14 19:09:30.738193,*,,BB4,Left,Right
2022-02-14 19:09:36.957103,,6.2081,Food_retrieval,Left,Right
2022-02-14 19:10:29.278555,0.0,,Food_log_BB2,Left,Right
2022-02-14 19:10:34.007561,-,,END,Left,Right
2022-02-14 19:14:44.858143,+,,START,Left,Right
2022-02-14 19:14:53.577948,*,,BB2,Left,Right
2022-02-14 19:14:58.517940,*,,BB4,Left,Right
2022-02-14 19:15:04.119705,,5.5805,Food_retrieval,Left,Right
2022-02-14 19:16:10.719527,0.0,,Food_log_BB2,Left,Right
2022-02-14 19:16:18.850769,*,,BB4,Left,Right
2022-02-14 19:16:21.161032,,2.3024,Food_retrieval,Left,Right
