Weight_Mean,Weight_Median,Weight_Mode,Weight_Max_Mode,Date_Time
28.166,28.5,28.5,NO MAX_MODE,2022-03-02 19:58:43.463403
25.578,25.5,25.5,NO MAX_MODE,2022-03-02 20:01:39.477110
27.278,27.4,NO MODE,NO MAX_MODE,2022-03-02 20:14:50.799069
25.566,25.35,NO MODE,NO MAX_MODE,2022-03-02 20:23:05.895429
25.768,25.85,NO MODE,NO MAX_MODE,2022-03-02 20:32:00.743480
25.002,24.6,24.6,NO MAX_MODE,2022-03-02 20:36:52.663696
26.898,26.9,NO MODE,NO MAX_MODE,2022-03-02 20:48:15.337667
25.416,25.65,NO MODE,NO MAX_MODE,2022-03-02 20:59:59.031182
24.734,24.65,24.7,NO MAX_MODE,2022-03-02 21:09:19.414766
25.852,26.1,27.1,NO MAX_MODE,2022-03-02 21:17:40.916710
26.29,26.9,27.6,NO MAX_MODE,2022-03-02 21:34:10.690550
26.616,27.0,26.9,NO MAX_MODE,2022-03-02 21:40:27.253112
27.098,27.1,NO MODE,NO MAX_MODE,2022-03-02 21:58:07.467905
25.706,26.200000000000003,26.9,NO MAX_MODE,2022-03-02 22:05:26.110165
24.224,24.3,22.4,NO MAX_MODE,2022-03-02 22:11:27.593498
22.82,22.7,NO MODE,NO MAX_MODE,2022-03-02 22:26:02.449484
28.542,28.7,29.2,NO MAX_MODE,2022-03-02 22:32:41.584823
24.988,24.9,24.1,NO MAX_MODE,2022-03-02 22:43:56.105965
24.628,24.7,NO MODE,NO MAX_MODE,2022-03-02 22:55:10.966896
25.006,25.1,26.5,NO MAX_MODE,2022-03-02 23:05:51.485257
25.314,25.6,NO MODE,NO MAX_MODE,2022-03-02 23:39:43.537274
27.11,27.3,27.3,NO MAX_MODE,2022-03-02 23:47:10.535866
26.748,27.1,NO MODE,NO MAX_MODE,2022-03-02 23:56:45.129765
25.698,26.05,27.2,NO MAX_MODE,2022-03-02 23:59:40.686417
25.186,25.0,27.1,NO MAX_MODE,2022-03-03 00:13:07.186163
26.408,26.7,26.7,NO MAX_MODE,2022-03-03 01:19:47.335982
24.918,25.15,25.5,NO MAX_MODE,2022-03-03 02:47:11.762537
24.364,24.5,24.5,NO MAX_MODE,2022-03-03 02:51:19.865275
25.652,25.6,25.4,NO MAX_MODE,2022-03-03 05:58:32.029770
23.788,23.75,25.0,NO MAX_MODE,2022-03-03 09:48:09.505790
25.226,25.4,NO MODE,NO MAX_MODE,2022-03-03 10:01:00.792544
23.644000000000002,23.5,23.1,NO MAX_MODE,2022-03-03 10:28:13.611793
24.066,24.05,24.2,NO MAX_MODE,2022-03-03 11:34:55.857265
24.466,24.25,NO MODE,NO MAX_MODE,2022-03-03 11:46:52.992058
24.18,24.2,24.3,NO MAX_MODE,2022-03-03 11:59:39.312190
24.77,24.85,NO MODE,NO MAX_MODE,2022-03-03 12:03:52.820110
24.564,24.2,24.2,NO MAX_MODE,2022-03-03 12:08:28.775598
25.322,25.0,24.6,NO MAX_MODE,2022-03-03 12:26:07.560897
23.524,23.6,23.4,NO MAX_MODE,2022-03-03 12:45:20.143694
25.274,25.45,26.9,NO MAX_MODE,2022-03-03 12:48:17.800569
23.748,23.8,NO MODE,NO MAX_MODE,2022-03-03 12:50:56.412416
24.79,24.5,24.4,NO MAX_MODE,2022-03-03 12:59:24.949878
24.592,24.6,NO MODE,NO MAX_MODE,2022-03-03 13:02:16.997299
24.878,24.95,24.6,NO MAX_MODE,2022-03-03 13:17:34.008515
24.742,24.45,24.2,NO MAX_MODE,2022-03-03 13:21:25.824798
24.774,25.0,NO MODE,NO MAX_MODE,2022-03-03 13:28:23.120611
24.814,24.95,23.2,NO MAX_MODE,2022-03-03 13:44:20.526338
24.388,24.5,24.7,NO MAX_MODE,2022-03-03 14:01:11.340321
24.926,24.75,NO MODE,NO MAX_MODE,2022-03-03 14:18:07.537946
25.324,25.2,NO MODE,NO MAX_MODE,2022-03-03 14:33:34.574036
24.934,25.35,NO MODE,NO MAX_MODE,2022-03-03 14:39:03.691548
24.708,25.25,25.6,NO MAX_MODE,2022-03-03 14:43:24.112656
22.348,22.0,25.2,NO MAX_MODE,2022-03-03 14:48:03.703357
25.078,25.1,NO MODE,NO MAX_MODE,2022-03-03 15:06:12.884512
