Date_Time,Rotation,Pellet_Retrieval,Type,Wheel_Position,FED_Position
2022-03-11 11:25:34.447181,120,0.1,begin session,Left,Right
2022-03-11 11:26:09.251591,120,0.1,begin session,Left,Right
2022-03-11 11:26:18.107519,+,,START,Left,Right
2022-03-11 11:26:20.129224,*,,BB2,Left,Right
2022-03-11 11:26:21.944383,*,,BB3,Left,Right
2022-03-11 11:26:30.753075,,8802,drink,Left,Right
2022-03-11 11:26:36.629177,1.4667,,Run_log_BB2,Left,Right
2022-03-11 11:26:36.634802,12431,8802,exit_drink,Left,Right
2022-03-11 11:26:38.895695,*,,BB4,Left,Right
2022-03-11 11:26:47.321863,,8.4107,Food_retrieval,Left,Right
2022-03-11 11:26:54.778518,0.0,,Food_log_BB2,Left,Right
2022-03-11 11:26:59.144266,-,,END,Left,Right
2022-03-14 11:28:44.528795,120,0.1,begin session,Left,Right
2022-03-14 11:29:18.583533,+,,START,Left,Right
2022-03-14 11:29:21.159718,*,,BB2,Left,Right
2022-03-14 11:29:22.550508,*,,BB4,Left,Right
2022-03-14 11:29:28.865980,0.0,,Food_log_BB2,Left,Right
2022-03-14 11:29:31.552482,*,,BB3,Left,Right
2022-03-14 11:29:51.309327,1.2,,Run_log_BB2,Left,Right
2022-03-14 11:29:51.314802,0,0,exit_drink,Left,Right
2022-03-14 11:29:54.179383,-,,END,Left,Right
2022-03-14 11:30:21.709603,120,0.1,begin session,Left,Right
2022-03-14 11:30:38.811270,+,,START,Left,Right
2022-03-14 11:30:40.784112,*,,BB2,Left,Right
2022-03-14 11:30:42.160046,*,,BB4,Left,Right
2022-03-14 11:30:52.242818,,10.0692,Food_retrieval,Left,Right
2022-03-14 11:31:03.806824,0.0,,Food_log_BB2,Left,Right
2022-03-14 11:31:10.570438,*,,BB3,Left,Right
2022-03-14 11:31:12.196550,,1621,drink,Left,Right
2022-03-14 11:31:19.579725,0.0,,Run_log_BB2,Left,Right
2022-03-14 11:31:19.586501,100101,1621,exit_drink,Left,Right
2022-03-14 11:31:21.997965,-,,END,Left,Right
2022-03-15 11:20:45.327728,120,0.1,begin session,Left,Right
2022-03-15 11:21:38.870793,120,0.1,begin session,Right,Left
2022-03-15 11:21:57.423386,+,,START,Right,Left
2022-03-15 11:22:01.069683,*,,BB2,Right,Left
2022-03-15 11:22:02.617213,*,,BB3,Right,Left
2022-03-15 11:22:28.532789,,25910,drink,Right,Left
2022-03-15 11:23:10.985707,2.2111,,Run_log_BB2,Right,Left
2022-03-15 11:23:10.991262,11069,25910,exit_drink,Right,Left
2022-03-15 11:23:19.236567,*,,BB4,Right,Left
2022-03-15 11:23:29.516676,,10.2735,Food_retrieval,Right,Left
2022-03-15 11:23:46.876944,0.0,,Food_log_BB2,Right,Left
2022-03-15 11:23:49.904110,-,,END,Right,Left
2022-03-16 14:36:01.891082,120,0.1,begin session,Left,Right
2022-03-16 14:36:31.832067,+,,START,Left,Right
2022-03-16 14:36:35.118979,*,,BB2,Left,Right
2022-03-16 14:36:36.506177,*,,BB4,Left,Right
2022-03-16 14:36:39.848228,0.0,,Food_log_BB2,Left,Right
2022-03-16 14:36:45.021022,*,,BB3,Left,Right
2022-03-16 14:36:59.649221,,14622,drink,Left,Right
2022-03-16 14:37:05.128838,2.2444,,Run_log_BB2,Left,Right
2022-03-16 14:37:05.134812,10783,14622,exit_drink,Left,Right
2022-03-16 14:37:07.774202,-,,END,Left,Right
2022-03-17 11:15:42.419507,120,0.1,begin session,Left,Right
2022-03-17 11:16:01.780106,+,,START,Left,Right
2022-03-17 11:16:06.095513,*,,BB2,Left,Right
2022-03-17 11:16:07.404536,*,,BB4,Left,Right
2022-03-17 11:16:21.521404,,14.0929,Food_retrieval,Left,Right
2022-03-17 11:16:55.849162,0.0,,Food_log_BB2,Left,Right
2022-03-17 11:16:58.467278,*,,BB3,Left,Right
2022-03-17 11:17:14.073422,,15600,drink,Left,Right
2022-03-17 11:17:18.974304,2.1778,,Run_log_BB2,Left,Right
2022-03-17 11:17:18.980290,9613,15600,exit_drink,Left,Right
2022-03-17 11:17:26.444742,*,,BB4,Left,Right
2022-03-17 11:17:40.778993,,14.3168,Food_retrieval,Left,Right
2022-03-17 11:18:15.494623,0.0,,Food_log_BB2,Left,Right
2022-03-17 11:18:22.182218,*,,BB4,Left,Right
2022-03-17 11:18:56.845577,0.0,,Food_log_BB2,Left,Right
2022-03-17 11:21:24.996124,*,,BB4,Left,Right
2022-03-17 11:21:28.465408,,3.4602,Food_retrieval,Left,Right
2022-03-17 11:21:33.481635,0.0,,Food_log_BB2,Left,Right
2022-03-17 11:21:35.313841,-,,END,Left,Right
2022-03-18 11:12:56.475542,120,0.1,begin session,Right,Left
2022-03-18 11:13:38.430087,+,,START,Right,Left
2022-03-18 11:13:41.161401,*,,BB2,Right,Left
2022-03-18 11:13:42.698940,*,,BB3,Right,Left
2022-03-18 11:13:52.821658,,10118,drink,Right,Left
2022-03-18 11:13:57.957543,1.1333,,Run_log_BB2,Right,Left
2022-03-18 11:13:57.963034,6414,10118,exit_drink,Right,Left
2022-03-18 11:14:01.532663,*,,BB4,Right,Left
2022-03-18 11:14:07.494097,,5.9543,Food_retrieval,Right,Left
2022-03-18 11:14:18.860713,0.0,,Food_log_BB2,Right,Left
2022-03-18 11:14:23.750546,-,,END,Right,Left
