Weight_Mean,Weight_Median,Weight_Mode,Weight_Max_Mode,Date_Time
29.49,29.4,29.7,NO MAX_MODE,2022-10-08 07:18:39.663201
29.398,29.6,29.6,NO MAX_MODE,2022-10-08 07:23:52.476919
19.214,19.35,20.0,NO MAX_MODE,2022-10-08 14:31:05.301828
25.978,28.3,29.0,NO MAX_MODE,2022-10-08 17:31:44.559515
27.474,27.6,27.7,NO MAX_MODE,2022-10-08 19:13:26.955210
20.584,21.1,NO MODE,NO MAX_MODE,2022-10-08 20:37:50.506742
27.038,27.15,29.7,NO MAX_MODE,2022-10-08 21:34:16.011360
26.866,26.9,26.6,NO MAX_MODE,2022-10-08 22:32:24.857565
30.844,31.3,31.3,NO MAX_MODE,2022-10-09 03:01:42.996788
29.746,29.65,NO MODE,NO MAX_MODE,2022-10-09 03:08:49.855742
27.208,27.0,26.9,NO MAX_MODE,2022-10-09 11:20:41.352812
26.742,26.75,NO MODE,NO MAX_MODE,2022-10-09 11:39:46.543325
25.628,25.95,26.6,NO MAX_MODE,2022-10-09 14:30:48.576625
26.428,26.55,NO MODE,NO MAX_MODE,2022-10-09 16:35:33.054706
26.516000000000002,26.5,NO MODE,NO MAX_MODE,2022-10-09 17:43:28.366170
26.701999999999998,26.9,25.7,NO MAX_MODE,2022-10-09 18:00:39.745728
26.59,26.6,26.8,NO MAX_MODE,2022-10-09 18:15:20.438197
27.13,27.05,26.8,NO MAX_MODE,2022-10-09 20:03:24.126817
26.202,26.55,26.8,NO MAX_MODE,2022-10-09 20:29:23.306842
26.156,26.2,NO MODE,NO MAX_MODE,2022-10-09 20:47:46.675980
26.222,26.3,26.3,NO MAX_MODE,2022-10-09 21:00:37.060961
26.498,26.35,25.8,NO MAX_MODE,2022-10-09 21:06:46.805417
27.256,27.45,NO MODE,NO MAX_MODE,2022-10-09 21:11:54.781974
27.356,27.3,27.3,NO MAX_MODE,2022-10-09 21:28:25.768277
26.62,26.6,25.9,NO MAX_MODE,2022-10-09 21:48:58.566944
27.476,27.25,27.1,NO MAX_MODE,2022-10-09 22:11:22.556614
27.066,27.15,27.3,NO MAX_MODE,2022-10-09 22:28:04.986965
28.472,28.5,NO MODE,NO MAX_MODE,2022-10-09 22:32:46.553747
26.874,27.05,27.1,NO MAX_MODE,2022-10-10 03:14:24.574488
27.472,27.15,27.2,NO MAX_MODE,2022-10-10 03:22:37.917339
28.146,29.05,29.2,NO MAX_MODE,2022-10-10 03:37:59.112332
26.274,26.35,NO MODE,NO MAX_MODE,2022-10-10 17:15:14.507846
27.21,27.2,NO MODE,NO MAX_MODE,2022-10-10 17:23:20.252147
26.558,26.05,25.7,NO MAX_MODE,2022-10-10 17:31:04.979247
26.19,26.5,NO MODE,NO MAX_MODE,2022-10-10 17:39:14.255861
26.774,26.8,26.8,NO MAX_MODE,2022-10-10 17:53:45.028089
26.454,26.4,26.4,NO MAX_MODE,2022-10-10 18:04:57.670260
26.548000000000002,26.8,27.0,NO MAX_MODE,2022-10-10 18:08:51.462977
27.262,27.45,28.2,NO MAX_MODE,2022-10-10 18:40:23.724090
27.134,27.15,27.2,NO MAX_MODE,2022-10-10 18:50:51.350679
27.356,27.1,NO MODE,NO MAX_MODE,2022-10-10 18:58:05.908500
27.778,27.55,NO MODE,NO MAX_MODE,2022-10-10 19:53:22.169779
27.096,27.55,27.9,NO MAX_MODE,2022-10-10 20:08:58.221105
27.674,27.9,NO MODE,NO MAX_MODE,2022-10-10 21:28:41.171836
28.198,28.3,28.3,NO MAX_MODE,2022-10-10 21:59:57.466074
28.24,28.1,28.2,NO MAX_MODE,2022-10-10 22:13:55.113722
27.318,27.15,26.8,NO MAX_MODE,2022-10-10 22:43:21.228468
26.776,26.8,26.8,NO MAX_MODE,2022-10-11 13:25:33.644801
27.334,27.45,28.0,NO MAX_MODE,2022-10-11 15:05:01.078171
26.796,26.75,26.3,NO MAX_MODE,2022-10-11 16:21:30.641567
26.49,26.4,26.4,NO MAX_MODE,2022-10-11 16:30:55.864853
25.418,25.2,25.2,NO MAX_MODE,2022-10-11 16:54:31.283514
27.666,27.6,NO MODE,NO MAX_MODE,2022-10-11 17:02:16.236449
27.74,27.65,26.7,NO MAX_MODE,2022-10-11 17:25:57.599958
26.556,26.6,26.8,NO MAX_MODE,2022-10-11 17:47:32.489382
27.102,27.2,27.8,NO MAX_MODE,2022-10-11 18:09:07.817989
27.03,27.1,27.3,NO MAX_MODE,2022-10-11 18:48:25.561308
