Weight_Mean,Weight_Median,Weight_Mode,Weight_Max_Mode,Date_Time
25.296,25.8,26.6,NO MAX_MODE,2022-10-15 12:27:36.300671
28.236,28.55,28.8,NO MAX_MODE,2022-10-15 12:31:08.745114
26.254,26.8,27.2,NO MAX_MODE,2022-10-15 13:02:28.217679
29.42,28.9,NO MODE,NO MAX_MODE,2022-10-15 13:11:49.691588
29.334,29.1,29.1,NO MAX_MODE,2022-10-15 13:19:05.244671
26.992,25.95,25.2,NO MAX_MODE,2022-10-15 14:28:33.239043
28.578,28.35,28.3,NO MAX_MODE,2022-10-15 14:40:21.002115
29.398,29.3,30.2,NO MAX_MODE,2022-10-15 14:58:38.649259
29.086,28.7,28.1,NO MAX_MODE,2022-10-15 15:21:46.984803
29.894,30.35,NO MODE,NO MAX_MODE,2022-10-15 15:48:01.688213
30.092,30.0,30.0,NO MAX_MODE,2022-10-15 17:06:41.360779
30.05,30.15,31.1,NO MAX_MODE,2022-10-15 17:28:34.852111
29.364,29.4,NO MODE,NO MAX_MODE,2022-10-15 17:45:53.046381
29.638,29.8,28.8,NO MAX_MODE,2022-10-15 20:24:49.697472
30.126,30.3,30.0,NO MAX_MODE,2022-10-15 20:32:58.420997
27.004,27.1,29.0,NO MAX_MODE,2022-10-17 11:23:04.166272
30.982,31.299999999999997,31.4,NO MAX_MODE,2022-10-17 11:32:41.156486
30.506,30.35,NO MODE,NO MAX_MODE,2022-10-17 12:17:45.976093
30.384,29.75,29.7,NO MAX_MODE,2022-10-17 12:23:25.980582
30.31,30.0,NO MODE,NO MAX_MODE,2022-10-17 12:59:46.958273
31.016000000000002,31.95,33.5,NO MAX_MODE,2022-10-17 13:14:41.844341
30.314,30.25,NO MODE,NO MAX_MODE,2022-10-17 13:33:23.256325
29.832,29.85,30.5,NO MAX_MODE,2022-10-17 14:30:13.186062
28.038,28.6,28.6,NO MAX_MODE,2022-10-17 14:46:33.831711
30.336,30.4,NO MODE,NO MAX_MODE,2022-10-17 15:28:21.498008
30.224,30.4,30.5,NO MAX_MODE,2022-10-17 15:45:45.858589
30.596,30.85,NO MODE,NO MAX_MODE,2022-10-17 16:37:27.366685
29.734,30.1,30.6,NO MAX_MODE,2022-10-17 16:53:56.260137
30.586,30.700000000000003,29.2,NO MAX_MODE,2022-10-17 17:10:27.237739
29.556,29.55,29.0,NO MAX_MODE,2022-10-17 17:51:52.012908
30.416,31.2,33.2,NO MAX_MODE,2022-10-17 20:10:12.569769
31.323999999999998,31.8,32.1,NO MAX_MODE,2022-10-17 21:15:38.288916
30.47,30.6,30.6,NO MAX_MODE,2022-10-17 21:34:49.199945
29.18,29.15,NO MODE,NO MAX_MODE,2022-10-17 21:54:14.202501
25.462,25.4,NO MODE,NO MAX_MODE,2022-10-18 11:01:01.773882
27.832,28.3,29.6,NO MAX_MODE,2022-10-18 11:16:53.347807
26.194,26.45,27.6,NO MAX_MODE,2022-10-18 12:02:45.048961
31.638,31.6,28.4,NO MAX_MODE,2022-10-18 12:14:32.472452
30.204,31.4,NO MODE,NO MAX_MODE,2022-10-18 12:29:15.143756
31.172,31.15,NO MODE,NO MAX_MODE,2022-10-18 12:56:12.885146
32.048,32.1,31.1,NO MAX_MODE,2022-10-18 13:14:15.001057
32.994,32.95,32.1,NO MAX_MODE,2022-10-18 13:33:02.357508
25.974,26.85,27.1,NO MAX_MODE,2022-10-18 13:53:30.548413
29.754,29.2,28.9,NO MAX_MODE,2022-10-18 14:17:46.032793
29.65,28.75,28.0,NO MAX_MODE,2022-10-18 14:28:59.788513
27.972,28.6,28.9,NO MAX_MODE,2022-10-18 14:40:33.020975
29.084,29.6,29.8,NO MAX_MODE,2022-10-18 14:53:26.387491
29.164,29.3,29.1,NO MAX_MODE,2022-10-18 15:20:04.968842
30.292,30.1,29.6,NO MAX_MODE,2022-10-18 15:33:33.785548
29.288,29.25,29.0,NO MAX_MODE,2022-10-18 15:51:24.894813
31.634,31.55,NO MODE,NO MAX_MODE,2022-10-18 16:36:05.940108
29.508,29.4,29.1,NO MAX_MODE,2022-10-18 17:00:01.502262
29.542,29.9,30.1,NO MAX_MODE,2022-10-18 17:13:52.776826
28.888,29.05,NO MODE,NO MAX_MODE,2022-10-18 17:48:22.354531
27.652,28.1,28.1,NO MAX_MODE,2022-10-18 18:17:53.869667
29.672,29.9,29.9,NO MAX_MODE,2022-10-18 20:30:51.694839
30.986,31.35,NO MODE,NO MAX_MODE,2022-10-18 21:01:47.084256
29.816,29.7,NO MODE,NO MAX_MODE,2022-10-18 22:07:52.449619
27.786,27.9,28.0,NO MAX_MODE,2022-10-19 11:41:49.774197
29.198,29.15,28.7,NO MAX_MODE,2022-10-19 12:30:49.033052
30.872,31.2,29.5,NO MAX_MODE,2022-10-19 12:46:05.158573
28.874,28.6,28.6,NO MAX_MODE,2022-10-19 13:49:25.407358
30.044,29.9,29.6,NO MAX_MODE,2022-10-19 13:59:26.725717
29.342,29.3,29.4,NO MAX_MODE,2022-10-19 14:21:51.143715
29.738,29.95,30.1,NO MAX_MODE,2022-10-19 14:37:46.034380
27.84,27.9,27.8,NO MAX_MODE,2022-10-19 14:53:23.070467
29.56,29.6,29.5,NO MAX_MODE,2022-10-19 15:18:21.598070
29.89,29.9,29.9,NO MAX_MODE,2022-10-19 16:13:42.368053
30.396,30.45,31.3,NO MAX_MODE,2022-10-19 17:38:25.407939
28.956,29.2,29.2,NO MAX_MODE,2022-10-19 21:19:08.526785
