Weight_Mean,Weight_Median,Weight_Mode,Weight_Max_Mode,Date_Time
30.014,29.9,29.9,NO MAX_MODE,2022-10-07 20:41:42.172591
30.526,30.5,30.4,NO MAX_MODE,2022-10-08 11:40:43.332801
30.396,30.5,NO MODE,NO MAX_MODE,2022-10-08 11:46:47.892248
30.146,30.15,29.8,NO MAX_MODE,2022-10-08 11:54:34.378426
22.692,22.65,NO MODE,NO MAX_MODE,2022-10-08 14:12:45.675609
24.214,25.0,NO MODE,NO MAX_MODE,2022-10-08 15:18:32.531324
23.634,23.2,22.9,NO MAX_MODE,2022-10-08 16:48:10.883167
30.08,30.5,30.5,NO MAX_MODE,2022-10-08 18:33:53.581429
28.874,29.0,29.3,NO MAX_MODE,2022-10-08 18:51:18.608554
27.31,26.049999999999997,NO MODE,NO MAX_MODE,2022-10-08 20:54:13.456490
29.81,29.8,30.0,NO MAX_MODE,2022-10-08 21:44:52.220141
29.38,29.6,30.0,NO MAX_MODE,2022-10-08 21:54:58.726589
28.28,28.45,29.0,NO MAX_MODE,2022-10-08 22:00:08.235247
27.874,28.0,28.2,NO MAX_MODE,2022-10-08 22:27:32.507791
27.624,28.1,28.4,NO MAX_MODE,2022-10-08 22:42:06.471300
27.63,27.8,28.1,NO MAX_MODE,2022-10-08 22:52:06.371126
27.71,27.75,NO MODE,NO MAX_MODE,2022-10-08 22:58:48.682258
29.344,29.1,28.1,NO MAX_MODE,2022-10-08 23:07:05.105230
27.994,27.9,27.9,NO MAX_MODE,2022-10-08 23:16:00.062515
28.252,28.3,28.7,NO MAX_MODE,2022-10-08 23:28:47.476849
29.55,29.1,31.0,NO MAX_MODE,2022-10-08 23:45:24.736045
28.416,28.25,28.2,NO MAX_MODE,2022-10-09 00:00:30.519916
28.368000000000002,28.5,28.6,NO MAX_MODE,2022-10-09 00:19:05.327508
28.628,28.9,NO MODE,NO MAX_MODE,2022-10-09 00:36:52.818335
28.464,28.45,29.3,NO MAX_MODE,2022-10-09 03:16:05.416992
28.296,28.3,28.7,NO MAX_MODE,2022-10-09 03:31:08.221438
28.662,28.7,NO MODE,NO MAX_MODE,2022-10-09 03:42:42.441497
27.864,28.1,28.1,NO MAX_MODE,2022-10-09 08:02:04.423006
30.09,30.0,29.1,NO MAX_MODE,2022-10-09 08:11:50.341295
29.37,29.4,29.4,NO MAX_MODE,2022-10-09 11:28:10.439942
29.506,29.55,NO MODE,NO MAX_MODE,2022-10-09 11:47:47.662055
29.206,29.25,NO MODE,NO MAX_MODE,2022-10-09 11:57:21.481960
28.53,28.6,28.6,NO MAX_MODE,2022-10-09 14:46:47.964296
28.426,28.5,28.7,NO MAX_MODE,2022-10-09 14:58:52.021870
27.428,27.65,27.9,NO MAX_MODE,2022-10-09 15:14:41.066688
29.006,29.15,29.2,NO MAX_MODE,2022-10-09 16:20:03.718065
27.85,28.0,28.2,NO MAX_MODE,2022-10-09 16:46:30.626511
28.32,28.3,28.3,NO MAX_MODE,2022-10-09 17:24:42.440624
28.304,28.4,28.5,NO MAX_MODE,2022-10-09 17:36:58.819360
28.322,28.3,28.2,NO MAX_MODE,2022-10-09 21:09:47.097572
28.234,28.3,NO MODE,NO MAX_MODE,2022-10-09 21:21:01.512200
27.71,28.0,28.1,NO MAX_MODE,2022-10-09 21:37:57.594765
28.128,28.1,28.4,NO MAX_MODE,2022-10-09 21:45:05.219465
28.216,28.2,28.5,NO MAX_MODE,2022-10-10 00:12:03.868907
27.85,27.8,27.8,NO MAX_MODE,2022-10-10 01:39:32.315815
27.448,27.4,27.3,NO MAX_MODE,2022-10-10 01:49:18.446982
26.902,27.0,26.9,NO MAX_MODE,2022-10-10 02:10:30.225881
27.096,27.1,27.3,NO MAX_MODE,2022-10-10 05:50:33.689714
28.068,28.1,28.1,NO MAX_MODE,2022-10-10 06:06:48.368294
26.77,26.9,NO MODE,NO MAX_MODE,2022-10-10 08:16:33.314642
28.164,28.3,28.7,NO MAX_MODE,2022-10-10 08:26:58.529392
27.216,27.299999999999997,NO MODE,NO MAX_MODE,2022-10-10 12:32:00.837152
27.226,27.3,27.2,NO MAX_MODE,2022-10-10 13:07:32.054220
26.02,26.15,NO MODE,NO MAX_MODE,2022-10-10 13:32:45.202541
27.306,27.45,28.0,NO MAX_MODE,2022-10-10 14:03:44.658331
27.752,27.8,28.3,NO MAX_MODE,2022-10-10 14:15:00.940593
28.818,28.9,29.0,NO MAX_MODE,2022-10-10 15:00:34.791192
27.02,27.05,27.2,NO MAX_MODE,2022-10-10 15:28:15.557174
27.542,27.6,27.8,NO MAX_MODE,2022-10-10 15:41:12.777581
27.93,28.05,NO MODE,NO MAX_MODE,2022-10-10 17:18:18.763987
28.128,28.2,28.3,NO MAX_MODE,2022-10-10 17:26:30.679919
27.004,27.25,NO MODE,NO MAX_MODE,2022-10-10 17:37:02.934866
27.782,27.9,27.9,NO MAX_MODE,2022-10-10 17:41:51.651484
28.162,28.15,28.1,NO MAX_MODE,2022-10-10 18:36:06.921460
27.158,27.15,27.1,NO MAX_MODE,2022-10-10 18:44:53.067541
27.46,27.5,27.7,NO MAX_MODE,2022-10-10 19:28:19.677676
27.612,27.5,27.5,NO MAX_MODE,2022-10-10 19:33:13.132428
28.02,28.05,28.3,NO MAX_MODE,2022-10-10 19:38:53.699409
27.862000000000002,28.0,27.1,NO MAX_MODE,2022-10-10 20:28:50.071896
27.822,27.7,27.6,NO MAX_MODE,2022-10-10 20:49:13.971624
27.972,28.0,28.0,NO MAX_MODE,2022-10-10 20:58:23.557279
28.03,27.95,28.3,NO MAX_MODE,2022-10-10 21:09:30.812470
27.451999999999998,27.45,NO MODE,NO MAX_MODE,2022-10-10 21:42:16.485574
28.066,28.1,27.8,NO MAX_MODE,2022-10-10 22:06:57.400214
28.788,29.3,29.5,NO MAX_MODE,2022-10-11 01:16:26.963013
27.778,28.1,28.4,NO MAX_MODE,2022-10-11 01:26:25.865969
28.474,28.6,28.6,NO MAX_MODE,2022-10-11 01:42:07.197498
24.146,22.7,22.7,NO MAX_MODE,2022-10-11 06:16:39.809839
27.2,27.35,27.5,NO MAX_MODE,2022-10-11 06:32:47.016121
29.742,29.7,29.3,NO MAX_MODE,2022-10-11 09:01:13.590319
27.768,27.9,27.7,NO MAX_MODE,2022-10-11 09:10:28.799568
29.178,29.65,NO MODE,NO MAX_MODE,2022-10-11 11:01:14.941822
28.3,28.4,28.4,NO MAX_MODE,2022-10-11 11:11:50.382894
27.996,28.0,28.1,NO MAX_MODE,2022-10-11 11:16:15.110888
27.36,27.75,27.8,NO MAX_MODE,2022-10-11 12:32:01.731310
26.464,26.8,26.8,NO MAX_MODE,2022-10-11 12:40:43.695297
28.358,28.4,28.3,NO MAX_MODE,2022-10-11 12:48:42.738899
27.85,28.2,28.4,NO MAX_MODE,2022-10-11 13:02:37.415281
27.412,27.6,27.8,NO MAX_MODE,2022-10-11 13:14:24.957869
28.71,28.7,28.4,NO MAX_MODE,2022-10-11 13:43:56.785593
28.92,29.0,29.1,NO MAX_MODE,2022-10-11 14:03:02.740337
28.759999999999998,28.7,28.7,NO MAX_MODE,2022-10-11 14:19:50.229173
28.478,28.3,NO MODE,NO MAX_MODE,2022-10-11 15:11:31.508649
28.814,28.9,28.9,NO MAX_MODE,2022-10-11 15:26:37.617626
28.958,29.0,29.2,NO MAX_MODE,2022-10-11 15:38:02.156755
28.3,28.3,NO MODE,NO MAX_MODE,2022-10-11 16:28:24.743707
28.352,28.4,NO MODE,NO MAX_MODE,2022-10-11 16:50:48.056790
28.328,28.3,28.3,NO MAX_MODE,2022-10-11 17:06:51.300433
29.824,29.7,28.9,NO MAX_MODE,2022-10-11 17:18:29.387484
28.428,28.4,28.2,NO MAX_MODE,2022-10-11 17:29:42.912156
27.668,27.75,27.8,NO MAX_MODE,2022-10-11 18:24:03.479214
29.14,29.2,29.2,NO MAX_MODE,2022-10-11 18:41:47.323595
28.45,28.5,28.7,NO MAX_MODE,2022-10-11 18:59:34.475666
26.652,27.0,27.1,NO MAX_MODE,2022-10-11 19:09:19.175694
28.552,28.5,28.4,NO MAX_MODE,2022-10-11 19:16:05.236379
28.15,28.2,27.8,NO MAX_MODE,2022-10-11 19:31:41.726880
28.442,28.8,29.2,NO MAX_MODE,2022-10-11 19:51:46.019582
29.766,29.8,29.8,NO MAX_MODE,2022-10-11 20:22:58.240805
30.046,30.35,NO MODE,NO MAX_MODE,2022-10-11 20:39:17.222301
28.276,28.4,28.5,NO MAX_MODE,2022-10-11 21:16:15.835330
28.228,28.2,28.0,NO MAX_MODE,2022-10-11 21:50:57.075599
28.166,28.2,28.2,NO MAX_MODE,2022-10-11 21:58:38.498848
29.419999999999998,29.7,29.9,NO MAX_MODE,2022-10-12 03:54:50.816055
28.612000000000002,28.7,28.7,NO MAX_MODE,2022-10-12 03:59:33.699061
26.408,26.6,26.8,NO MAX_MODE,2022-10-12 04:02:54.472574
28.854,28.55,27.8,NO MAX_MODE,2022-10-12 08:29:25.810971
28.182,28.2,NO MODE,NO MAX_MODE,2022-10-12 11:05:53.734652
27.578,27.7,28.0,NO MAX_MODE,2022-10-12 12:02:47.729012
25.342,25.5,NO MODE,NO MAX_MODE,2022-10-12 12:07:15.651161
29.674,29.9,29.9,NO MAX_MODE,2022-10-12 12:26:04.001029
27.956,28.05,28.1,NO MAX_MODE,2022-10-12 13:47:45.410664
27.018,27.2,27.5,NO MAX_MODE,2022-10-12 13:57:06.558004
26.698,26.75,26.5,NO MAX_MODE,2022-10-12 14:13:00.899063
29.148,29.15,28.8,NO MAX_MODE,2022-10-12 15:10:58.533148
28.928,28.9,28.9,NO MAX_MODE,2022-10-12 15:19:36.310254
26.886,26.8,26.8,NO MAX_MODE,2022-10-12 15:31:29.252170
27.876,28.0,28.3,NO MAX_MODE,2022-10-12 15:40:58.769156
26.128,26.2,26.5,NO MAX_MODE,2022-10-12 16:46:45.634644
26.822,26.8,26.5,NO MAX_MODE,2022-10-12 16:54:01.200744
27.498,27.6,27.6,NO MAX_MODE,2022-10-12 17:27:00.621747
26.316,26.6,26.7,NO MAX_MODE,2022-10-12 18:03:25.454316
26.36,26.3,NO MODE,NO MAX_MODE,2022-10-12 18:12:59.268673
