Weight_Mean,Weight_Median,Weight_Mode,Weight_Max_Mode,Date_Time
36.34,36.8,NO MODE,NO MAX_MODE,2022-08-31 21:08:14.909841
36.864,36.8,35.0,NO MAX_MODE,2022-08-31 21:14:29.053626
33.194,33.0,33.0,NO MAX_MODE,2022-08-31 21:22:21.803411
33.008,32.95,NO MODE,NO MAX_MODE,2022-08-31 21:28:33.748484
36.752,36.6,36.6,NO MAX_MODE,2022-08-31 22:06:29.055017
37.506,38.150000000000006,NO MODE,NO MAX_MODE,2022-08-31 23:09:49.762357
34.762,34.8,34.1,NO MAX_MODE,2022-08-31 23:15:02.145345
38.058,38.0,NO MODE,NO MAX_MODE,2022-09-01 09:25:14.153161
38.356,38.4,38.6,NO MAX_MODE,2022-09-01 09:48:46.704294
33.284,33.9,35.1,NO MAX_MODE,2022-09-01 10:17:56.859635
34.354,34.5,30.1,NO MAX_MODE,2022-09-01 10:25:17.593968
35.52,35.9,36.0,NO MAX_MODE,2022-09-01 10:39:48.268410
37.112,36.95,36.3,NO MAX_MODE,2022-09-01 10:54:58.902216
35.364,34.7,34.7,NO MAX_MODE,2022-09-01 11:08:34.097046
35.274,34.150000000000006,33.1,NO MAX_MODE,2022-09-01 11:19:54.015243
34.5,34.2,36.2,NO MAX_MODE,2022-09-01 12:25:47.827488
32.962,32.8,NO MODE,NO MAX_MODE,2022-09-01 12:48:46.488196
39.666,39.55,39.5,NO MAX_MODE,2022-09-01 13:19:01.800810
39.49,38.7,37.8,NO MAX_MODE,2022-09-01 13:39:12.165168
38.48,38.3,NO MODE,NO MAX_MODE,2022-09-01 13:53:18.390949
33.55,33.45,31.7,NO MAX_MODE,2022-09-01 14:18:27.708504
38.358,39.0,40.3,NO MAX_MODE,2022-09-01 17:32:57.814628
34.226,34.599999999999994,39.7,NO MAX_MODE,2022-09-01 17:35:05.826770
28.838,28.85,NO MODE,NO MAX_MODE,2022-09-01 21:52:34.327360
