Weight_Mean,Weight_Median,Weight_Mode,Weight_Max_Mode,Date_Time
21.792,21.25,20.3,NO MAX_MODE,2022-06-18 15:21:51.048642
26.864,27.8,28.1,NO MAX_MODE,2022-06-18 16:26:21.976978
24.038,24.95,26.1,NO MAX_MODE,2022-06-18 16:47:09.102486
25.806,25.35,NO MODE,NO MAX_MODE,2022-06-18 17:30:37.376193
18.61,21.1,21.0,NO MAX_MODE,2022-06-18 17:37:42.704033
26.580000000000002,26.6,NO MODE,NO MAX_MODE,2022-06-18 17:46:52.626311
29.306,28.9,28.2,NO MAX_MODE,2022-06-18 18:12:37.928042
28.387999999999998,27.95,NO MODE,NO MAX_MODE,2022-06-18 19:32:06.940376
30.36,29.7,NO MODE,NO MAX_MODE,2022-06-18 20:27:58.547180
31.196,31.1,31.0,NO MAX_MODE,2022-06-18 20:46:32.152936
30.214,30.25,NO MODE,NO MAX_MODE,2022-06-18 21:47:21.939559
30.266000000000002,30.3,30.3,NO MAX_MODE,2022-06-18 21:59:53.511464
27.048,28.9,30.4,NO MAX_MODE,2022-06-18 23:34:29.745457
25.614,25.85,22.9,NO MAX_MODE,2022-06-18 23:41:37.710467
30.096,30.25,30.3,NO MAX_MODE,2022-06-19 00:06:02.338324
28.288,29.299999999999997,NO MODE,NO MAX_MODE,2022-06-19 01:43:17.047570
29.872,30.1,30.4,NO MAX_MODE,2022-06-19 01:53:00.989471
28.49,27.4,26.7,NO MAX_MODE,2022-06-19 11:33:12.110185
29.756,30.5,NO MODE,NO MAX_MODE,2022-06-19 12:01:56.388744
30.776,31.15,31.5,NO MAX_MODE,2022-06-19 12:16:12.536899
29.528,29.4,29.2,NO MAX_MODE,2022-06-19 13:30:27.710758
29.992,29.95,30.5,NO MAX_MODE,2022-06-19 14:43:21.784274
24.044,22.0,21.8,NO MAX_MODE,2022-06-19 14:53:08.900523
25.23,24.75,28.3,NO MAX_MODE,2022-06-19 15:50:35.489276
28.976,29.1,29.2,NO MAX_MODE,2022-06-19 16:02:23.707941
30.026,30.1,30.4,NO MAX_MODE,2022-06-19 16:34:07.743425
30.336,30.45,29.6,NO MAX_MODE,2022-06-19 16:47:08.708156
28.224,28.700000000000003,30.0,NO MAX_MODE,2022-06-19 17:37:24.805183
29.394,29.45,29.5,NO MAX_MODE,2022-06-19 18:12:33.360596
23.246,23.2,23.4,NO MAX_MODE,2022-06-19 18:46:19.232981
28.544,28.85,27.1,NO MAX_MODE,2022-06-19 18:53:43.599915
30.178,29.9,29.1,NO MAX_MODE,2022-06-19 19:18:14.838537
30.626,30.6,NO MODE,NO MAX_MODE,2022-06-19 19:35:12.891948
28.948,29.1,29.4,NO MAX_MODE,2022-06-20 09:27:04.582744
24.216,24.35,NO MODE,NO MAX_MODE,2022-06-20 09:43:17.515750
29.052,28.85,28.2,NO MAX_MODE,2022-06-20 09:53:33.025677
28.902,29.45,29.6,NO MAX_MODE,2022-06-20 10:01:28.880371
26.096,26.6,27.2,NO MAX_MODE,2022-06-20 10:20:12.708460
29.126,28.95,NO MODE,NO MAX_MODE,2022-06-20 10:35:06.614599
30.366,30.1,29.3,NO MAX_MODE,2022-06-20 10:41:26.587019
27.94,28.6,29.9,NO MAX_MODE,2022-06-20 10:57:26.851010
28.562,29.45,30.7,NO MAX_MODE,2022-06-20 11:11:17.794534
24.624,26.5,NO MODE,NO MAX_MODE,2022-06-20 11:17:51.514851
23.106,22.75,NO MODE,NO MAX_MODE,2022-06-20 13:10:02.329025
28.77,29.0,29.6,NO MAX_MODE,2022-06-20 13:15:29.245749
28.78,27.9,NO MODE,NO MAX_MODE,2022-06-20 13:20:07.175163
30.102,30.2,31.1,NO MAX_MODE,2022-06-20 13:34:11.431357
28.99,28.95,28.7,NO MAX_MODE,2022-06-20 15:25:52.648458
26.94,27.7,29.5,NO MAX_MODE,2022-06-20 16:05:58.834282
28.786,28.8,NO MODE,NO MAX_MODE,2022-06-20 16:33:03.608375
