Weight_Mean,Weight_Median,Weight_Mode,Weight_Max_Mode,Date_Time
21.492,21.7,NO MODE,NO MAX_MODE,2022-06-18 14:14:18.501961
25.894,25.85,NO MODE,NO MAX_MODE,2022-06-18 14:20:23.290251
23.324,24.95,25.9,NO MAX_MODE,2022-06-18 14:33:05.868443
23.69,24.700000000000003,25.1,NO MAX_MODE,2022-06-18 14:36:55.693175
23.014,23.25,NO MODE,NO MAX_MODE,2022-06-18 14:43:02.124657
20.05,19.2,19.0,NO MAX_MODE,2022-06-18 14:52:55.427536
23.744,24.05,21.3,NO MAX_MODE,2022-06-18 15:04:47.924851
23.282,23.700000000000003,NO MODE,NO MAX_MODE,2022-06-18 16:19:38.445536
22.66,24.4,24.5,NO MAX_MODE,2022-06-18 16:34:44.340312
19.802,19.9,20.2,NO MAX_MODE,2022-06-18 16:57:07.446259
25.342,25.45,24.4,NO MAX_MODE,2022-06-18 17:18:04.707915
23.896,25.15,25.5,NO MAX_MODE,2022-06-18 17:22:30.092055
25.426,25.75,26.1,NO MAX_MODE,2022-06-18 17:25:30.601170
21.67,22.549999999999997,23.4,NO MAX_MODE,2022-06-18 17:34:04.542082
25.178,25.0,25.0,NO MAX_MODE,2022-06-18 17:41:43.759630
26.628,26.049999999999997,25.4,NO MAX_MODE,2022-06-18 17:44:16.210435
25.058,25.25,NO MODE,NO MAX_MODE,2022-06-18 18:06:58.352813
25.408,26.55,26.7,NO MAX_MODE,2022-06-18 19:21:03.304995
23.928,24.8,NO MODE,NO MAX_MODE,2022-06-18 19:29:41.317489
24.468,25.5,NO MODE,NO MAX_MODE,2022-06-18 19:50:04.996311
27.252,27.25,27.6,NO MAX_MODE,2022-06-18 20:33:37.678165
28.962,29.2,29.2,NO MAX_MODE,2022-06-18 20:38:45.003997
24.014,23.700000000000003,NO MODE,NO MAX_MODE,2022-06-18 20:45:02.551550
25.828,27.2,NO MODE,NO MAX_MODE,2022-06-18 20:55:20.934947
27.951999999999998,28.3,28.3,NO MAX_MODE,2022-06-18 21:27:34.696560
21.69,21.9,21.9,NO MAX_MODE,2022-06-18 21:57:45.943683
